index,unicode,slot,token,rom_offset,source,provenance,review
62,U+B09C,588,C024,0x04980,glyphs/glyph_0062_U+B09C_slot0588_tokC024_off04980.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
63,U+B0A0,589,D024,0x049A0,glyphs/glyph_0063_U+B0A0_slot0589_tokD024_off049A0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
64,U+B0A8,590,E024,0x049C0,glyphs/glyph_0064_U+B0A8_slot0590_tokE024_off049C0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
65,U+B0A9,591,F024,0x049E0,glyphs/glyph_0065_U+B0A9_slot0591_tokF024_off049E0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
66,U+B0B4,592,0025,0x04A00,glyphs/glyph_0066_U+B0B4_slot0592_tok0025_off04A00.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
67,U+B0B8,593,1025,0x04A20,glyphs/glyph_0067_U+B0B8_slot0593_tok1025_off04A20.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
68,U+B0BC,594,2025,0x04A40,glyphs/glyph_0068_U+B0BC_slot0594_tok2025_off04A40.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
69,U+B0D0,595,3025,0x04A60,glyphs/glyph_0069_U+B0D0_slot0595_tok3025_off04A60.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
70,U+B0E5,596,4025,0x04A80,glyphs/glyph_0070_U+B0E5_slot0596_tok4025_off04A80.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
71,U+B108,597,5025,0x04AA0,glyphs/glyph_0071_U+B108_slot0597_tok5025_off04AA0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
72,U+B10C,598,6025,0x04AC0,glyphs/glyph_0072_U+B10C_slot0598_tok6025_off04AC0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
73,U+B110,599,7025,0x04AE0,glyphs/glyph_0073_U+B110_slot0599_tok7025_off04AE0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
74,U+B118,600,8025,0x04B00,glyphs/glyph_0074_U+B118_slot0600_tok8025_off04B00.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
75,U+B124,601,9025,0x04B20,glyphs/glyph_0075_U+B124_slot0601_tok9025_off04B20.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
76,U+B140,602,A025,0x04B40,glyphs/glyph_0076_U+B140_slot0602_tokA025_off04B40.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
77,U+B144,603,B025,0x04B60,glyphs/glyph_0077_U+B144_slot0603_tokB025_off04B60.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
78,U+B204,604,C025,0x04B80,glyphs/glyph_0078_U+B204_slot0604_tokC025_off04B80.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
79,U+B290,605,D025,0x04BA0,glyphs/glyph_0079_U+B290_slot0605_tokD025_off04BA0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
80,U+B294,606,E025,0x04BC0,glyphs/glyph_0080_U+B294_slot0606_tokE025_off04BC0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
81,U+B2C8,607,F025,0x04BE0,glyphs/glyph_0081_U+B2C8_slot0607_tokF025_off04BE0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
82,U+B2D8,608,0026,0x04C00,glyphs/glyph_0082_U+B2D8_slot0608_tok0026_off04C00.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
83,U+B2D9,635,B027,0x04F60,glyphs/glyph_0083_U+B2D9_slot0635_tokB027_off04F60.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
84,U+B2E4,636,C027,0x04F80,glyphs/glyph_0084_U+B2E4_slot0636_tokC027_off04F80.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
85,U+B2E8,637,D027,0x04FA0,glyphs/glyph_0085_U+B2E8_slot0637_tokD027_off04FA0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
86,U+B2EB,638,E027,0x04FC0,glyphs/glyph_0086_U+B2EB_slot0638_tokE027_off04FC0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
87,U+B2EC,639,F027,0x04FE0,glyphs/glyph_0087_U+B2EC_slot0639_tokF027_off04FE0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
88,U+B2F5,704,002C,0x05800,glyphs/glyph_0088_U+B2F5_slot0704_tok002C_off05800.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
89,U+B2F9,729,902D,0x05B20,glyphs/glyph_0089_U+B2F9_slot0729_tok902D_off05B20.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
90,U+B2FF,730,A02D,0x05B40,glyphs/glyph_0090_U+B2FF_slot0730_tokA02D_off05B40.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
91,U+B300,731,B02D,0x05B60,glyphs/glyph_0091_U+B300_slot0731_tokB02D_off05B60.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
92,U+B354,732,C02D,0x05B80,glyphs/glyph_0092_U+B354_slot0732_tokC02D_off05B80.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
93,U+B358,733,D02D,0x05BA0,glyphs/glyph_0093_U+B358_slot0733_tokD02D_off05BA0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
94,U+B364,734,E02D,0x05BC0,glyphs/glyph_0094_U+B364_slot0734_tokE02D_off05BC0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
95,U+B370,735,F02D,0x05BE0,glyphs/glyph_0095_U+B370_slot0735_tokF02D_off05BE0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
96,U+B3C4,738,202E,0x05C40,glyphs/glyph_0096_U+B3C4_slot0738_tok202E_off05C40.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
97,U+B3CC,739,302E,0x05C60,glyphs/glyph_0097_U+B3CC_slot0739_tok302E_off05C60.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
98,U+B3D4,740,402E,0x05C80,glyphs/glyph_0098_U+B3D4_slot0740_tok402E_off05C80.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
99,U+B3D9,741,502E,0x05CA0,glyphs/glyph_0099_U+B3D9_slot0741_tok502E_off05CA0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
100,U+B3FC,742,602E,0x05CC0,glyphs/glyph_0100_U+B3FC_slot0742_tok602E_off05CC0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
101,U+B410,743,702E,0x05CE0,glyphs/glyph_0101_U+B410_slot0743_tok702E_off05CE0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
102,U+B418,744,802E,0x05D00,glyphs/glyph_0102_U+B418_slot0744_tok802E_off05D00.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
103,U+B41C,745,902E,0x05D20,glyphs/glyph_0103_U+B41C_slot0745_tok902E_off05D20.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
104,U+B420,746,A02E,0x05D40,glyphs/glyph_0104_U+B420_slot0746_tokA02E_off05D40.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
105,U+B450,747,B02E,0x05D60,glyphs/glyph_0105_U+B450_slot0747_tokB02E_off05D60.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
106,U+B458,748,C02E,0x05D80,glyphs/glyph_0106_U+B458_slot0748_tokC02E_off05D80.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
107,U+B460,749,D02E,0x05DA0,glyphs/glyph_0107_U+B460_slot0749_tokD02E_off05DA0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
108,U+B465,750,E02E,0x05DC0,glyphs/glyph_0108_U+B465_slot0750_tokE02E_off05DC0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
109,U+B46C,751,F02E,0x05DE0,glyphs/glyph_0109_U+B46C_slot0751_tokF02E_off05DE0.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
110,U+B4DC,752,002F,0x05E00,glyphs/glyph_0110_U+B4DC_slot0752_tok002F_off05E00.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
111,U+B4E0,768,0030,0x06000,glyphs/glyph_0111_U+B4E0_slot0768_tok0030_off06000.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
112,U+B4E4,769,1030,0x06020,glyphs/glyph_0112_U+B4E4_slot0769_tok1030_off06020.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
113,U+B514,770,2030,0x06040,glyphs/glyph_0113_U+B514_slot0770_tok2030_off06040.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
114,U+B51C,771,3030,0x06060,glyphs/glyph_0114_U+B51C_slot0771_tok3030_off06060.txt,Valis_KANJI1_16x16_EDITKIT_476 visual TXT filename,confirmed
